timestamp,mains_power_W,fridge_W,kettle_W,tv_W,microwave_W,washing_machine_W
2026-01-01 00:00:00,157.72,121.49,0.0,0.0,0.0,0.0
2026-01-01 00:00:06,162.94,119.59,0.0,0.0,0.0,0.0
2026-01-01 00:00:12,158.73,121.94,0.0,0.0,0.0,0.0
2026-01-01 00:00:18,169.84,124.57,0.0,0.0,0.0,0.0
2026-01-01 00:00:24,154.31,119.3,0.0,0.0,0.0,0.0
2026-01-01 00:00:30,155.33,119.3,0.0,0.0,0.0,0.0
2026-01-01 00:00:36,160.91,124.74,0.0,0.0,0.0,0.0
2026-01-01 00:00:42,163.85,122.3,0.0,0.0,0.0,0.0
2026-01-01 00:00:48,158.33,118.59,0.0,0.0,0.0,0.0
2026-01-01 00:00:54,162.2,121.63,0.0,0.0,0.0,0.0
2026-01-01 00:01:00,1166.98,118.61,0.0,0.0,1008.96,0.0
2026-01-01 00:01:06,1143.06,118.6,0.0,0.0,984.73,0.0
2026-01-01 00:01:12,1172.34,120.73,0.0,0.0,1014.02,0.0
2026-01-01 00:01:18,1128.34,114.26,0.0,0.0,981.64,0.0
2026-01-01 00:01:24,1147.94,114.83,0.0,0.0,1000.09,0.0
2026-01-01 00:01:30,1165.17,118.31,0.0,0.0,1010.87,0.0
2026-01-01 00:01:36,1140.22,116.96,0.0,0.0,984.87,0.0
2026-01-01 00:01:42,1152.3,120.94,0.0,0.0,984.04,0.0
2026-01-01 00:01:48,1132.41,117.28,0.0,0.0,980.23,0.0
2026-01-01 00:01:54,1174.22,115.76,0.0,0.0,1023.92,0.0
2026-01-01 00:02:00,1180.77,124.4,0.0,0.0,1025.48,0.0
2026-01-01 00:02:06,1187.08,119.32,0.0,0.0,1025.25,0.0
2026-01-01 00:02:12,1186.4,120.2,0.0,0.0,1027.26,0.0
2026-01-01 00:02:18,1139.76,115.73,0.0,0.0,990.5,0.0
2026-01-01 00:02:24,1131.03,118.37,0.0,0.0,972.81,0.0
2026-01-01 00:02:30,1182.96,120.33,0.0,0.0,1025.55,0.0
2026-01-01 00:02:36,1176.96,116.55,0.0,0.0,1013.94,0.0
2026-01-01 00:02:42,157.77,121.13,0.0,0.0,0.0,0.0
2026-01-01 00:02:48,166.69,118.2,0.0,0.0,0.0,0.0
2026-01-01 00:02:54,159.99,119.12,0.0,0.0,0.0,0.0
2026-01-01 00:03:00,156.22,118.19,0.0,0.0,0.0,0.0
