timestamp,mains_power_W,fridge_W,kettle_W,tv_W,microwave_W,washing_machine_W,voltage_V,current_A,power_factor
2026-01-01 00:00:00,157.72,121.49,0.0,0.0,0.0,0.0,230.0,0.8242343094628966,0.8319711064704856
2026-01-01 00:00:06,162.94,119.59,0.0,0.0,0.0,0.0,230.0,0.8400016101814339,0.8433731245535103
2026-01-01 00:00:12,158.73,121.94,0.0,0.0,0.0,0.0,230.0,0.8623237618416065,0.8003147603270768
2026-01-01 00:00:18,169.84,124.57,0.0,0.0,0.0,0.0,230.0,0.9431045557616333,0.7829829451012987
2026-01-01 00:00:24,154.31,119.3,0.0,0.0,0.0,0.0,230.0,0.8860807227207255,0.75716921300151
2026-01-01 00:00:30,155.33,119.3,0.0,0.0,0.0,0.0,230.0,0.8180389107392738,0.8255693185506724
2026-01-01 00:00:36,160.91,124.74,0.0,0.0,0.0,0.0,230.0,0.9199752332716901,0.7604647063858112
2026-01-01 00:00:42,163.85,122.3,0.0,0.0,0.0,0.0,230.0,0.9009014337686428,0.7907538801084566
2026-01-01 00:00:48,158.33,118.59,0.0,0.0,0.0,0.0,230.0,0.8658527987290084,0.7950442677535035
2026-01-01 00:00:54,162.2,121.63,0.0,0.0,0.0,0.0,230.0,0.8431333305540067,0.8364245199996576
2026-01-01 00:01:00,1166.98,118.61,0.0,0.0,1008.96,0.0,230.0,6.022123054341863,0.8425311208641555
2026-01-01 00:01:06,1143.06,118.6,0.0,0.0,984.73,0.0,230.0,6.090408517680187,0.8160086589478089
2026-01-01 00:01:12,1172.34,120.73,0.0,0.0,1014.02,0.0,230.0,6.648790855199572,0.7666251722742167
2026-01-01 00:01:18,1128.34,114.26,0.0,0.0,981.64,0.0,230.0,5.8949931812199665,0.8322021648108612
2026-01-01 00:01:24,1147.94,114.83,0.0,0.0,1000.09,0.0,230.0,5.962772784283021,0.8370339871773271
2026-01-01 00:01:30,1165.17,118.31,0.0,0.0,1010.87,0.0,230.0,6.295210418096732,0.8047318811101394
2026-01-01 00:01:36,1140.22,116.96,0.0,0.0,984.87,0.0,230.0,5.8342061036855695,0.8497262819936786
2026-01-01 00:01:42,1152.3,120.94,0.0,0.0,984.04,0.0,230.0,6.526529446958542,0.7676361595724865
2026-01-01 00:01:48,1132.41,117.28,0.0,0.0,980.23,0.0,230.0,5.927650572887584,0.8306025597477148
2026-01-01 00:01:54,1174.22,115.76,0.0,0.0,1023.92,0.0,230.0,6.612387805317587,0.7720818104044768
2026-01-01 00:02:00,1180.77,124.4,0.0,0.0,1025.48,0.0,230.0,6.398133425118566,0.8023875508036185
2026-01-01 00:02:06,1187.08,119.32,0.0,0.0,1025.25,0.0,230.0,6.792121442135011,0.7598829666511365
2026-01-01 00:02:12,1186.4,120.2,0.0,0.0,1027.26,0.0,230.0,6.774679221496246,0.7614029684531649
2026-01-01 00:02:18,1139.76,115.73,0.0,0.0,990.5,0.0,230.0,5.847747585861974,0.8474165801633372
2026-01-01 00:02:24,1131.03,118.37,0.0,0.0,972.81,0.0,230.0,6.259587279185477,0.7855983980736703
2026-01-01 00:02:30,1182.96,120.33,0.0,0.0,1025.55,0.0,230.0,6.158265431199813,0.8351871814047513
2026-01-01 00:02:36,1176.96,116.55,0.0,0.0,1013.94,0.0,230.0,6.361547445605115,0.8043982120796074
2026-01-01 00:02:42,157.77,121.13,0.0,0.0,0.0,0.0,230.0,0.9116932332331916,0.752398390965876
2026-01-01 00:02:48,166.69,118.2,0.0,0.0,0.0,0.0,230.0,0.8544361739562479,0.8482074524994226
2026-01-01 00:02:54,159.99,119.12,0.0,0.0,0.0,0.0,230.0,0.8848104092682918,0.7861669442015479
2026-01-01 00:03:00,156.22,118.19,0.0,0.0,0.0,0.0,230.0,0.8340681881389651,0.8143427611354751
2026-01-01 00:03:06,164.27,125.56,0.0,0.0,0.0,0.0,230.0,0.9116453815757108,0.7834377332882184
2026-01-01 00:03:12,161.43,119.96,0.0,0.0,0.0,0.0,230.0,0.9186893650232651,0.7639900840689682
2026-01-01 00:03:18,155.49,116.83,0.0,0.0,0.0,0.0,230.0,0.9011088039204128,0.7502351273449313
2026-01-01 00:03:24,157.84,122.47,0.0,0.0,0.0,0.0,230.0,0.8778964439008481,0.7817105016576711
2026-01-01 00:03:30,159.49,116.34,0.0,0.0,0.0,0.0,230.0,0.9188733719313353,0.754657609841494
2026-01-01 00:03:36,165.58,120.63,0.0,0.0,0.0,0.0,230.0,0.9333381593804352,0.7713314153534135
2026-01-01 00:03:42,159.26,114.12,0.0,0.0,0.0,0.0,230.0,0.8347936394021683,0.8294682061839594
2026-01-01 00:03:48,155.21,116.02,0.0,0.0,0.0,0.0,230.0,0.808103420507331,0.8350739148373644
2026-01-01 00:03:54,166.05,120.59,0.0,0.0,0.0,0.0,230.0,0.9220472149609109,0.7829930073263515
2026-01-01 00:04:00,163.79,122.22,0.0,0.0,0.0,0.0,230.0,0.9429938763603811,0.7551803385311231
2026-01-01 00:04:06,159.05,120.51,0.0,0.0,0.0,0.0,230.0,0.8906077819519614,0.7764604724369396
2026-01-01 00:04:12,156.85,119.65,0.0,0.0,0.0,0.0,230.0,0.9077160497578036,0.7512883813402768
2026-01-01 00:04:18,163.7,119.1,0.0,0.0,0.0,0.0,230.0,0.8582165494870834,0.829323474197924
2026-01-01 00:04:24,147.15,115.56,0.0,0.0,0.0,0.0,230.0,0.7654655779459403,0.8358084636705059
2026-01-01 00:04:30,164.78,117.84,0.0,0.0,0.0,0.0,230.0,0.9086600925242366,0.7884519068273995
2026-01-01 00:04:36,159.25,118.62,0.0,0.0,0.0,0.0,230.0,0.8677909740340082,0.7978779741499037
2026-01-01 00:04:42,160.19,123.17,0.0,0.0,0.0,0.0,230.0,0.8785625519738787,0.792747493396774
2026-01-01 00:04:48,157.46,121.03,0.0,0.0,0.0,0.0,230.0,0.8962522751534688,0.7638571355759691
2026-01-01 00:04:54,152.49,114.71,0.0,0.0,0.0,0.0,230.0,0.7801337688774074,0.8498542512190443
2026-01-01 00:05:00,164.5,120.97,0.0,0.0,0.0,0.0,230.0,0.8520497700540242,0.8394079975621606
2026-01-01 00:05:06,160.4,118.84,0.0,0.0,0.0,0.0,230.0,0.8553536045551796,0.8153251481420942
2026-01-01 00:05:12,155.67,117.97,0.0,0.0,0.0,0.0,230.0,0.7969150137232115,0.8493077370877598
2026-01-01 00:05:18,159.13,121.84,0.0,0.0,0.0,0.0,230.0,0.8560973523414046,0.8081669255548397
2026-01-01 00:05:24,164.66,123.09,0.0,0.0,0.0,0.0,230.0,0.9314799439487444,0.7685759077574457
2026-01-01 00:05:30,176.51,122.79,0.0,0.0,0.0,0.0,230.0,0.9620048251208292,0.7977452530056746
2026-01-01 00:05:36,171.15,117.48,0.0,0.0,0.0,0.0,230.0,0.9027312359973277,0.8243100549860796
2026-01-01 00:05:42,164.33,119.07,0.0,0.0,0.0,0.0,230.0,0.9303906016472243,0.7679336609856185
